"trn_filename","trn_start","trn_assignee","trn_assigned","trn_completed","rev1_assignee","rev1_assigned","rev1_completed","rev2_filename","rev2_assignee","rev2_assigned","rev2_completed"
"subs_000000.srt","00:00:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_000500.srt","00:05:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_001000.srt","00:10:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_001500.srt","00:15:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_002000.srt","00:20:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_002500.srt","00:25:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_000000_002500.srt","",FALSE,FALSE
"subs_003000.srt","00:30:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_003500.srt","00:35:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_004000.srt","00:40:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_004500.srt","00:45:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_005000.srt","00:50:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_005500.srt","00:55:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_003000_005500.srt","",FALSE,FALSE
"subs_010000.srt","01:00:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_010500.srt","01:05:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_011000.srt","01:10:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_011500.srt","01:15:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_012000.srt","01:20:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_012500.srt","01:25:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_010000_012500.srt","",FALSE,FALSE
"subs_013000.srt","01:30:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_013500.srt","01:35:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_014000.srt","01:40:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_014500.srt","01:45:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_015000.srt","01:50:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_015500.srt","01:55:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_013000_015500.srt","",FALSE,FALSE
"subs_020000.srt","02:00:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_020500.srt","02:05:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_021000.srt","02:10:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_021500.srt","02:15:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_022000.srt","02:20:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_022500.srt","02:25:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_020000_022500.srt","",FALSE,FALSE
"subs_023000.srt","02:30:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_023500.srt","02:35:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_024000.srt","02:40:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_024500.srt","02:45:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_025000.srt","02:50:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_025500.srt","02:55:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_023000_025500.srt","",FALSE,FALSE
"subs_030000.srt","03:00:00","",FALSE,FALSE,"",FALSE,FALSE,"revs_030000_030000.srt","",FALSE,FALSE
